theta,delta,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,val_precision,val_recall,val_f1,test_precision,test_recall,test_f1
1,0.2,440,0.89,0.27,4620,12368,16433,555,,157,0.9537892791127541,0.5910652920962199,0.72984441301273,0.7671009771986971,0.6254980079681275,0.6891002194586686
1,0.15,447,0.89,0.24,4052,12936,16511,477,,83,0.9870689655172413,0.542654028436019,0.7003058103975536,0.9829268292682927,0.5605006954102921,0.7139061116031886
1,0.1,151,0.92,0.00,22,16966,16986,2,,9,,,,1.0,0.005780346820809248,0.011494252873563216
1.5,1,433,0.84,0.51,8641,8347,15293,1695,,382,0.12059720323835559,0.9650820361800589,0.21440254217486798,0.09676791277258567,0.9797930014785609,0.17613963584813716
1.5,0.6,458,0.85,0.51,8640,8348,15515,1473,,393,0.1209022873405713,0.9650820361800589,0.2148845487330804,0.09834767982586326,0.9797930014785609,0.17875286607022436
1.5,0.4,452,0.86,0.51,8628,8360,15617,1371,,384,0.25203252032520324,0.9650820361800589,0.3996863838313442,0.09970909820443374,0.9797930014785609,0.18099877088359814
1.5,0.25,505,0.89,0.49,8271,8717,16004,984,,314,0.5811380400421496,0.9455636519502786,0.7198564202969489,0.37466098411468424,0.9660339660339661,0.5399218313791179
1.5,0.2,489,0.90,0.48,8134,8854,16080,908,,269,0.7854046242774566,0.9382822615451014,0.8550639134709931,0.7656500802568218,0.9592760180995475,0.8515956259763446
1.5,0.15,533,0.91,0.42,7105,9883,16250,738,,175,1.0,0.9119858469703671,0.9539671524404348,1.0,0.8995215311004785,0.947103274559194
1.5,0.1,177,,,,,,,,,,,,,,
2,1,414,0.83,0.55,9319,7669,15124,1864,,301,0.12100294386356715,0.9843104872006606,0.2155125655396854,0.09359513791491351,0.9833005893909627,0.1709211986681465
2,0.6,418,0.84,0.55,9318,7670,15265,1723,,312,0.12100294386356715,0.9843104872006606,0.2155125655396854,0.09485454373164029,0.9833005893909627,0.17301875378100423
2,0.4,428,0.85,0.55,9308,7680,15362,1626,,303,0.2517955217574989,0.9843104872006606,0.4010092514718251,0.09613907030349597,0.9833005893909627,0.1751531058617673
2,0.25,494,0.88,0.53,9080,7908,15765,1223,,253,0.5614714424007744,0.9707112970711297,0.711438209138301,0.3484740951029099,0.9737233515121467,0.5132627727688489
2,0.2,495,0.89,0.49,8323,8665,16000,988,,199,0.6219646799116998,0.9563003818413237,0.7537201136933622,0.5092333519865697,0.9357326478149101,0.6595397716977714
2,0.15,511,0.91,0.46,7825,9163,16198,790,,125,1.0,0.9346037245560849,0.9661965524960823,1.0,0.9156626506024096,0.9559748427672956
2,0.1,187,,,,,,,,,,,,,,
2.5,1,347,0.84,0.70,11873,5115,14707,2281,,289,0.06710806867916058,0.9859851607584501,0.12566325190438662,0.08688510417567218,0.9852941176470589,0.15968856756971478
2.5,0.6,366,0.85,0.70,11870,5118,14921,2067,,302,0.11179659749485885,0.9859851607584501,0.2008227688691126,0.0915133855399745,0.9852941176470589,0.16747208798533575
2.5,0.4,366,0.85,0.70,11868,5120,14918,2070,,302,0.11179659749485885,0.9859851607584501,0.2008227688691126,0.09032084119708816,0.9852941176470589,0.1654729562855026
2.5,0.25,428,0.88,0.68,11626,5362,15456,1532,,243,0.36607421265980666,0.9767054908485857,0.5325470628260377,0.2764182424916574,0.9797930014785609,0.4311896757401583
2.5,0.2,466,0.90,0.66,11138,5850,15718,1270,,180,0.49978137297770003,0.9633375474083439,0.6581258097020296,0.5215082315454063,0.9737233515121467,0.679232232405326
2.5,0.15,501,0.90,0.60,10171,6817,15887,1101,,126,0.6335476329631794,0.9369057908383751,0.7559274755927476,0.8932527693856999,0.922996878251821,0.9078812691914022
2.5,0.1,450,0.91,0.25,4294,12694,16563,425,,20,1.0,0.3231083844580777,0.48840803709428127,1.0,0.3777429467084639,0.5483503981797497
3,1,283,0.83,0.76,12906,4082,14382,2606,,204,0.0633512498043104,0.9934533551554828,0.11910718665685553,0.060941828254847646,0.9995166747220879,0.11487931561258784
3,0.6,301,0.84,0.76,12903,4085,14594,2394,,217,0.10398286937901499,0.9934533551554828,0.18826083585329922,0.06426927144901387,0.9990328820116054,0.1207692757350792
3,0.4,297,0.85,0.76,12884,4104,14728,2260,,208,0.1251288394145537,0.9934533551554828,0.2222629073599414,0.06356923076923077,0.9990328820116054,0.11953251562138392
3,0.25,380,0.89,0.72,12306,4682,15462,1526,,178,0.3543187347931874,0.9728601252609603,0.519451566157619,0.26144297905352987,0.9882697947214076,0.4134969325153374
3,0.2,387,0.89,0.72,12233,4755,15529,1459,,142,0.46715328467153283,0.9672544080604534,0.6300246103363413,0.41083061889250816,0.987279843444227,0.5802185163887292
3,0.15,405,0.90,0.68,11520,5468,15726,1262,,88,0.5658835546475995,0.9478186484174508,0.7086664534697792,0.6584302325581395,0.9335394126738794,0.7722139356488386
3,0.1,446,0.91,0.29,4931,12057,16504,484,,18,1.0,0.3344617467840217,0.5012683916793507,1.0,0.3815480844409695,0.5523486134691568
3.5,1,255,0.81,0.79,13363,3625,13881,3107,,211,0.05976898500860162,0.9942763695829926,0.11275964391691395,0.05670300772475757,1.0,0.10732061385317294
3.5,0.6,275,0.83,0.79,13344,3644,14288,2700,,215,0.05976898500860162,0.9942763695829926,0.11275964391691395,0.05723775256019928,0.9995166747220879,0.10827508573522865
3.5,0.4,278,0.84,0.78,13325,3663,14426,2562,,206,0.06947777396868929,0.9942763695829926,0.12987983978638182,0.05723775256019928,0.9995166747220879,0.10827508573522865
3.5,0.25,344,0.88,0.77,13074,3914,15246,1742,,196,0.30184331797235026,0.9788293897882939,0.46140299383621963,0.25147783251231526,0.9931906614785992,0.4013364779874214
3.5,0.2,363,0.89,0.75,12672,4316,15450,1538,,151,0.4336985266339252,0.9655172413793104,0.5985401459854015,0.41083061889250816,0.987279843444227,0.5802185163887292
3.5,0.15,420,0.89,0.69,11782,5206,15585,1403,,88,0.4782986111111111,0.9451114922813036,0.6351585014409222,0.529276693455798,0.9422585590189065,0.6778165778349569
3.5,0.1,491,0.91,0.29,4909,12079,16506,482,,9,1.0,0.3344617467840217,0.5012683916793507,1.0,0.3777429467084639,0.5483503981797497
4,1,255,0.81,0.79,13382,3606,13817,3171,,166,0.05057251908396947,0.995508370763577,0.09625520658546696,0.0549859214790416,1.0,0.10424010474368013
4,0.6,270,0.83,0.79,13363,3625,14227,2761,,170,0.05057251908396947,0.995508370763577,0.09625520658546696,0.05554959209961357,1.0,0.10525245334824833
4,0.4,262,0.83,0.79,13363,3625,14227,2761,,170,0.05057251908396947,0.995508370763577,0.09625520658546696,0.05554959209961357,1.0,0.10525245334824833
4,0.25,348,0.89,0.75,12753,4235,15358,1630,,178,0.28488652824722355,0.979253112033195,0.44136899195810736,0.26514555468135326,0.9882697947214076,0.41811414392059554
4,0.2,366,0.89,0.75,12676,4312,15456,1532,,151,0.3790720631786772,0.9672544080604534,0.5446808510638298,0.41083061889250816,0.987279843444227,0.5802185163887292
4,0.15,413,0.89,0.69,11793,5195,15584,1404,,88,0.4782986111111111,0.9451114922813036,0.6351585014409222,0.529276693455798,0.9422585590189065,0.6778165778349569
4,0.1,472,0.91,0.29,4909,12079,16506,482,,9,1.0,0.3344617467840217,0.5012683916793507,1.0,0.3777429467084639,0.5483503981797497
