theta,delta,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,val_precision,val_recall,val_f1,test_precision,test_recall,test_f1
1,0.08,48,0.98,0.67,1480,729,2177,31,,45,0.8061224489795918,0.7488151658767772,0.7764127764127763,0.7589743589743589,0.8245125348189415,0.7903871829105473
1,0.05,45,0.99,0.67,1475,734,2188,20,,45,0.8777777777777778,0.7488151658767772,0.8081841432225063,0.8596491228070176,0.8212290502793296,0.84
1,0.025,47,0.99,0.67,1475,734,2188,20,,45,0.8777777777777778,0.7488151658767772,0.8081841432225063,0.8596491228070176,0.8212290502793296,0.84
1.5,1,46,0.98,0.67,1480,729,2177,31,,45,0.8061224489795918,0.7488151658767772,0.7764127764127763,0.7589743589743589,0.8245125348189415,0.7903871829105473
1.5,0.8,47,0.98,0.67,1480,729,2177,31,,45,0.8061224489795918,0.7488151658767772,0.7764127764127763,0.7589743589743589,0.8245125348189415,0.7903871829105473
1.5,0.5,49,0.98,0.67,1480,729,2177,31,,45,0.8061224489795918,0.7488151658767772,0.7764127764127763,0.7589743589743589,0.8245125348189415,0.7903871829105473
1.5,0.25,49,0.98,0.67,1480,729,2177,31,,45,0.8061224489795918,0.7488151658767772,0.7764127764127763,0.7589743589743589,0.8245125348189415,0.7903871829105473
1.5,0.1,47,0.98,0.67,1480,729,2177,31,,45,0.8061224489795918,0.7488151658767772,0.7764127764127763,0.7589743589743589,0.8245125348189415,0.7903871829105473
1.5,0.08,46,0.98,0.67,1480,729,2177,31,,45,0.8061224489795918,0.7488151658767772,0.7764127764127763,0.7589743589743589,0.8245125348189415,0.7903871829105473
1.5,0.05,49,0.99,0.67,1475,734,2188,20,,45,0.8777777777777778,0.7488151658767772,0.8081841432225063,0.8596491228070176,0.8212290502793296,0.84
1.5,0.025,46,0.99,0.67,1475,734,2188,20,,45,0.8777777777777778,0.7488151658767772,0.8081841432225063,0.8596491228070176,0.8212290502793296,0.84
2,1,44,0.96,0.72,1580,629,2144,64,,52,0.7657657657657657,0.783410138248848,0.7744874715261958,0.587360594795539,0.8563685636856369,0.6968026460859977
2,0.8,43,0.96,0.72,1580,629,2144,64,,52,0.7657657657657657,0.783410138248848,0.7744874715261958,0.587360594795539,0.8563685636856369,0.6968026460859977
2,0.5,45,0.96,0.72,1580,629,2144,64,,52,0.7657657657657657,0.783410138248848,0.7744874715261958,0.587360594795539,0.8563685636856369,0.6968026460859977
2,0.25,43,0.96,0.72,1580,629,2144,64,,52,0.7657657657657657,0.783410138248848,0.7744874715261958,0.587360594795539,0.8563685636856369,0.6968026460859977
2,0.1,45,0.96,0.72,1580,629,2144,64,,52,0.7657657657657657,0.783410138248848,0.7744874715261958,0.587360594795539,0.8563685636856369,0.6968026460859977
2,0.08,43,0.96,0.72,1580,629,2144,64,,52,0.7657657657657657,0.783410138248848,0.7744874715261958,0.587360594795539,0.8563685636856369,0.6968026460859977
2,0.05,45,0.96,0.72,1580,629,2144,64,,52,0.7657657657657657,0.783410138248848,0.7744874715261958,0.587360594795539,0.8563685636856369,0.6968026460859977
2,0.025,49,0.99,0.67,1475,734,2188,20,,45,0.8777777777777778,0.7488151658767772,0.8081841432225063,0.8596491228070176,0.8212290502793296,0.84
3,1,34,0.96,0.81,1781,428,2128,80,,25,0.7214285714285714,0.8669527896995708,0.787524366471735,0.5152439024390244,0.8894736842105263,0.6525096525096525
3,0.8,34,0.96,0.81,1781,428,2128,80,,25,0.7214285714285714,0.8669527896995708,0.787524366471735,0.5152439024390244,0.8894736842105263,0.6525096525096525
3,0.5,35,0.96,0.81,1781,428,2128,80,,25,0.7214285714285714,0.8669527896995708,0.787524366471735,0.5152439024390244,0.8894736842105263,0.6525096525096525
3,0.25,35,0.96,0.81,1781,428,2128,80,,25,0.7214285714285714,0.8669527896995708,0.787524366471735,0.5152439024390244,0.8894736842105263,0.6525096525096525
3,0.1,35,0.96,0.81,1781,428,2128,80,,25,0.7214285714285714,0.8669527896995708,0.787524366471735,0.5152439024390244,0.8894736842105263,0.6525096525096525
3,0.08,35,0.96,0.81,1781,428,2128,80,,25,0.7214285714285714,0.8669527896995708,0.787524366471735,0.5152439024390244,0.8894736842105263,0.6525096525096525
3,0.05,35,0.96,0.81,1781,428,2128,80,,25,0.7214285714285714,0.8669527896995708,0.787524366471735,0.5152439024390244,0.8894736842105263,0.6525096525096525
3,0.025,49,0.99,0.67,1475,734,2188,20,,45,0.8777777777777778,0.7488151658767772,0.8081841432225063,0.8596491228070176,0.8212290502793296,0.84
4,1,34,0.96,0.81,1781,428,2128,80,,25,0.7214285714285714,0.8669527896995708,0.787524366471735,0.5152439024390244,0.8894736842105263,0.6525096525096525
4,0.8,33,0.96,0.81,1781,428,2128,80,,25,0.7214285714285714,0.8669527896995708,0.787524366471735,0.5152439024390244,0.8894736842105263,0.6525096525096525
4,0.5,35,0.96,0.81,1781,428,2128,80,,25,0.7214285714285714,0.8669527896995708,0.787524366471735,0.5152439024390244,0.8894736842105263,0.6525096525096525
4,0.25,35,0.96,0.81,1781,428,2128,80,,25,0.7214285714285714,0.8669527896995708,0.787524366471735,0.5152439024390244,0.8894736842105263,0.6525096525096525
4,0.1,34,0.96,0.81,1781,428,2128,80,,25,0.7214285714285714,0.8669527896995708,0.787524366471735,0.5152439024390244,0.8894736842105263,0.6525096525096525
4,0.08,35,0.96,0.81,1781,428,2128,80,,25,0.7214285714285714,0.8669527896995708,0.787524366471735,0.5152439024390244,0.8894736842105263,0.6525096525096525
4,0.05,34,0.96,0.81,1781,428,2128,80,,25,0.7214285714285714,0.8669527896995708,0.787524366471735,0.5152439024390244,0.8894736842105263,0.6525096525096525
4,0.025,49,0.99,0.67,1475,734,2188,20,,45,0.8777777777777778,0.7488151658767772,0.8081841432225063,0.8596491228070176,0.8212290502793296,0.84
