theta,delta,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,val_precision,val_recall,val_f1,test_precision,test_recall,test_f1
2.5,0.15,539,0.90,0.60,10767,7058,16579,1246,,117,0.6303763440860215,0.9446122860020141,0.7561467150342605,0.7369219105382866,0.968609865470852,0.8370290635091496
2.5,0.1,171,0.94,0.00,15,17810,17824,1,,20,,,,1.0,0.0019305019305019305,0.0038535645472061652
3,1,330,0.82,0.74,13245,4580,14841,2984,,204,0.06785200679827429,0.9952061361457335,0.12704240866532035,0.060941828254847646,0.9995166747220879,0.11487931561258784
3,0.6,334,0.84,0.74,13236,4589,15242,2583,,188,0.11338066630256691,0.9952061361457335,0.2035693273190822,0.06426927144901387,0.9990328820116054,0.1207692757350792
3,0.4,338,0.84,0.74,13207,4618,15400,2425,,199,0.2460881934566145,0.9952061361457335,0.39460178673256036,0.06570410889199847,0.9990328820116054,0.12329911673430412
3,0.25,382,0.87,0.73,13092,4733,15912,1913,,196,0.35443037974683544,0.9942418426103646,0.5225725094577554,0.13611518464204772,0.9931906614785992,0.23941845468401923
3,0.2,427,0.89,0.68,12187,5638,16292,1533,,126,0.5388429752066116,0.9654491609081934,0.6916548797736917,0.4491486424298205,0.9706613625062158,0.61412616013843
3,0.15,507,0.89,0.49,8670,9155,16795,1030,,43,0.6415396952686447,0.8658008658008658,0.7369875633348687,0.8984468339307049,0.8416340235030778,0.8691129731291534
3,0.1,156,0.94,0.00,15,17810,17824,1,,20,,,,1.0,0.0019305019305019305,0.0038535645472061652
3.5,1,301,0.82,0.77,13690,4135,14778,3047,,204,0.06725240648620712,0.996649114408808,0.12600236027476017,0.061598951507208385,0.9995166747220879,0.11604612665188968
3.5,0.6,307,0.84,0.77,13681,4144,15177,2648,,188,0.11208010335917312,0.996649114408808,0.20150012097749817,0.06426927144901387,0.9990328820116054,0.1207692757350792
3.5,0.4,331,0.85,0.77,13652,4173,15333,2492,,199,0.2392553435991726,0.996649114408808,0.38587711982207396,0.06498081399006102,0.9990328820116054,0.12202468844132065
3.5,0.25,383,0.88,0.76,13503,4322,15923,1902,,205,0.36013864818024266,0.9956875898418783,0.5289550719103984,0.2514159074119675,0.9931906614785992,0.40125761446256636
3.5,0.2,421,0.89,0.71,12661,5164,16223,1602,,159,0.5370268787712562,0.9659595461272817,0.6902873259298431,0.4491486424298205,0.9706613625062158,0.61412616013843
3.5,0.15,464,0.89,0.67,11873,5952,16348,1477,,88,0.5661721068249258,0.9530469530469531,0.7103499627699181,0.5277310924369748,0.952959028831563,0.6792861005949161
3.5,0.1,179,0.94,0.00,15,17810,17824,1,,20,,,,1.0,0.0019305019305019305,0.0038535645472061652
4,1,301,0.80,0.77,13726,4099,14334,3491,,166,0.048472467267155726,0.9980879541108987,0.0924548352816153,0.05554959209961357,1.0,0.10525245334824833
4,0.6,297,0.82,0.77,13701,4124,14834,2991,,150,0.0755919194844689,0.9980879541108987,0.1405398128828162,0.05554959209961357,1.0,0.10525245334824833
4,0.4,311,0.83,0.77,13689,4136,15113,2712,,172,0.09843337108342771,0.9976087996174079,0.1791865309453249,0.06159528206350152,0.9995166747220879,0.11603961507168306
4,0.25,386,0.88,0.76,13501,4324,15935,1890,,196,0.38710879284649774,0.9956875898418783,0.557478202548625,0.25147783251231526,0.9931906614785992,0.4013364779874214
4,0.2,406,0.89,0.73,13088,4737,16183,1642,,160,0.5390496996176952,0.97002457002457,0.6929963138493944,0.4053514376996805,0.9902439024390244,0.5752337772740153
